订单ID,客户姓名,地区,产品类别,销售日期,单价,数量,折扣,销售额,备注
1001, 张三 ,华东, 家用电器 ,2026/08/01,1999.00,1,1.0,1999.00,
1002,李四,华南,数码产品,2026/08/02,899.50,2,0.95,1709.05,
1003,王五,华北,家用电器,2026/08/03,1299,1,,1299,加急
1001, 张三 ,华东, 家用电器 ,2026/08/01,1999.00,1,1.0,1999.00,
,,,,,,,,,
1005, 赵六 ,华东, 数码产品 ,2026/08/05,599.00,3,1,1797,
1006,钱七,西南,家具,2026/08/06,2599,1,0.8,2079.2,
1007,孙八,,家用电器,2026/08/07,1899,2,1,3798,
1008,周九,华南,,2026/08/08,399.90,5,1,1999.5,
1006,钱七,西南,家具,2026/08/06,2599,1,0.8,2079.2,
1010,吴十,华北,数码产品,2026/08/10,1099,1,0.9,989.1,
1011,郑一,华东,家具,2026/08/11,3299,,1,3299,
1012,王二,华南,家用电器,2026/08/12,1599,2,0.85,2718.3,
1013,冯三,西南,数码产品,2026/08/13,799.00,4,,3196,
1014,陈四,华北,家具,2026/08/14,2199,1,1,2199,
1015, 张三 ,华东,家用电器,2026/08/15,1999,1,1,1999,
1016,李四,华南,数码产品,2026/08/16,899.5,2,0.95,1709.05,
1017,褚五,华南,家具,2026/08/17,2899,1,0.9,2609.1,
1018,卫六,华东,,2026/08/18,1099,3,1,3297,
1019,蒋七,华北,数码产品,2026/08/19,1299,1,,1299,
,,,,,,,,,
1021,沈八,西南,家用电器,2026/08/21,1499,2,0.9,2698.2,
1022,韩九,华南,家具,2026/08/22,2599,1,1,2599,
1023,杨十,华东,数码产品,2026/08/23,699,5,0.95,3320.25,
1024,朱一,华北,,2026/08/24,999,2,1,1998,
1016,李四,华南,数码产品,2026/08/16,899.5,2,0.95,1709.05,
1026,秦二,西南,家用电器,2026/08/26,1799,1,0.85,1529.15,
1027,尤三,华南,家具,2026/08/27,2399,1,,2399,
1028,许四,华东,数码产品,2026/08/28,899,2,0.9,1618.2,
1029,何五,华北,家用电器,2026/08/29,1699,1,1,1699,
1030,吕六,,家具,2026/08/30,2999,1,0.8,2399.2,
1031,施七,华南,数码产品,2026/08/31,999,3,1,2997,
